,url,political
1,https://www.nbcnews.com/news/latino/roberto-clemente-remains-latino-legend-50-years-death-rcna63347,False
11,https://www.nbcnews.com/news/us-news/mgm-resorts-sells-land-las-vegas-strip-was-site-2017-massacre-rcna63791,False
33,https://www.nbcnews.com/news/nbcblk/black-reporter-wall-street-journal-detained-chase-bank-phoenix-conduct-rcna64635,False
34,https://www.nbcnews.com/think/opinion/rep-katie-porter-senate-campaign-conundrum-for-democrats-rcna65347,False
43,https://www.nbcnews.com/news/us-news/backpack-6-year-old-boy-was-searched-prior-virginia-school-shooting-ti-rcna65674,False
50,https://www.nbcnews.com/meet-the-press/meetthepressblog/poll-majority-voters-believe-biden-acted-inappropriately-handling-clas-rcna66396,False
52,https://www.nbcnews.com/news/nbcblk/tyre-nichols-family-view-footage-traffic-stop-led-hospitalization-deat-rcna67012,False
55,https://www.nbcnews.com/news/asian-america/pandemic-era-stigma-cost-asian-restaurants-74b-lost-revenue-new-study-rcna67454,False
69,https://www.nbcnews.com/politics/congress/live-blog/kevin-mccarthy-house-speaker-vote-live-updates-rcna64131,False
4,https://www.cnn.com/2023/01/04/entertainment/sharon-osbourne-kelly-osbourne-baby/index.html,False
12,https://www.cnn.com/2023/01/05/opinions/stopping-trump-2024-proportional-representation-peterson/index.html,False
34,https://www.cnn.com/2023/01/10/business/france-pension-reform/index.html,False
39,https://www.cnn.com/2023/01/07/us/houston-man-charged-kidnapping-bumble/index.html,False
40,https://www.cnn.com/2023/01/09/business/gas-stove-ban-federal-agency/index.html,False
50,https://www.cnn.com/2023/01/07/entertainment/james-cameron-oscar-speech/index.html,False
54,https://www.cnn.com/2023/01/11/world/webb-telescope-exoplanet-scn/index.html,False
78,https://www.cnn.com/2023/01/19/business/ftx-sbf-parents-home-security-incident/index.html,False
82,https://www.cnn.com/travel/article/lunar-new-year-2023-illustrated-guide-hnk-intl/index.html,False
92,https://www.cnn.com/2023/01/25/business/india-adani-shares-plunge-hindenburg-report-hnk-intl/index.html,False
26,https://www.usatoday.com/restricted/?return=https%3A%2F%2Fwww.usatoday.com%2Fin-depth%2Fgraphics%2F2023%2F01%2F12%2Fcalifornia-flooding-rain-damage-before-after-images%2F11038686002%2F,False
40,https://www.usatoday.com/story/news/2023/01/16/2023-doomsday-clock-update/11047008002/,False
41,https://www.usatoday.com/story/entertainment/music/2023/01/19/david-crosby-dead-crosby-stills-nash-byrds-co-founder/11084295002/,False
42,https://www.usatoday.com/storytelling/quiz/news-quiz/2023-01-20/,False
45,https://www.usatoday.com/story/news/health/2023/01/18/nursing-homes-have-long-overprescribed-patients-nursing-homes/11069221002/,False
47,https://www.usatoday.com/story/news/politics/2023/01/19/supreme-court-leak-investigation-abortion/11083104002/,False
48,https://www.usatoday.com/story/money/reviewed/2023/01/18/15-best-lunar-new-year-2023-gifts-year-rabbit-gifts/11069390002/,False
56,https://www.usatoday.com/story/money/problem-solved/2023/01/26/how-to-soft-boil-eggs-steam/11106375002/,False
61,https://www.usatoday.com/story/money/markets/2023/01/24/nyse-halts-stock-trades-mcdonalds-walmart/11111536002/,False
73,https://www.usatoday.com/story/news/2022/12/28/george-santos-fake-degree-employers-background-check/10956137002/,False
5,https://www.washingtontimes.com/news/2022/dec/27/feds-vanishing-right-whale-must-remain-on-endanger/,False
13,https://www.washingtontimes.com/news/2023/jan/3/plane-crash-after-takeoff-provo-utah-leaves-one-de/,False
24,https://www.washingtontimes.com/news/2023/jan/3/students-philly-nj-resume-classes-under-covid-19-m/,False
58,https://www.washingtontimes.com/news/2023/jan/3/police-suspect-chewed-off-mans-ear-face-in-oregon-/,False
64,https://www.washingtontimes.com/news/2023/jan/2/donald-trump-takes-fire-right-after-blaming-aborti/,False
66,https://www.washingtontimes.com/news/2023/jan/2/biden-mcconnell-tout-infrastructure-joint-appearan/,False
67,https://www.washingtontimes.com/news/2023/jan/2/virginia-bill-targets-fentanyl-dealers-proposes-fi/,False
90,https://www.washingtontimes.com/news/2022/dec/27/whoopi-goldberg-says-holocaust-wasnt-about-race-ag/,False
95,https://www.washingtontimes.com/news/2022/dec/29/2023-tax-credits-for-evs-will-boost-their-appeal/,False
1,http://nymag.com/intelligencer/2023/01/republican-speaker-fight-makes-for-c-span-gone-wild.html,False
8,http://nymag.com/intelligencer/2022/12/the-bodies-and-the-blame-pile-up-in-buffalo.html,False
11,http://nymag.com/intelligencer/2023/01/fight-dianne-feinsteins-senate-seat.html,False
12,http://nymag.com/intelligencer/2023/01/watch-bills-score-touchdown-right-after-tribute-to-hamlin.html,False
41,http://nymag.com/intelligencer/2023/01/democrats-reject-hochuls-pick-hector-lasalle.html,False
45,http://nymag.com/intelligencer/2023/01/why-bidens-easy-path-to-renomination-is-good-for-democrats.html,False
46,http://nymag.com/intelligencer/2023/01/monterey-park-lunar-new-year-shooting-what-we-know.html,False
53,http://nymag.com/intelligencer/2023/01/trump-asks-facebook-to-take-him-back-claims-they-need-him.html,False
64,http://nymag.com/intelligencer/2023/01/memphis-police-set-to-release-tyre-nichols-footage-updates.html,False
69,http://nymag.com/intelligencer/2023/01/curtis-sliwa-eric-adams-rats.html,False
71,http://nymag.com/intelligencer/2022/12/politicians-whose-careers-didnt-survive-2022.html,False
75,http://nymag.com/intelligencer/2023/01/what-the-supreme-court-left-out-of-its-dobbs-leak-report.html,False
78,http://nymag.com/intelligencer/2023/01/george-santos-drag-queen-kitara-ravache.html,False
85,http://nymag.com/intelligencer/2023/01/after-all-that-the-nets-are-great-again.html,False
88,http://nymag.com/intelligencer/2023/01/mccarthy-rewards-loyalty-of-mtg-gosar-and-george-santos.html,False
98,http://nymag.com/intelligencer/2023/01/markus-dohles-failed-bid-to-eat-simon-and-schuster.html,False
99,http://nymag.com/intelligencer/2023/01/george-santos-briefly-mystifies-d-c-with-resignation-remark.html,False
6,https://www.politico.com/news/2023/01/05/stabenow-passes-on-2024-reelection-bid-00076526,False
8,https://www.politico.com/news/2023/01/05/not-a-lost-cause-the-argument-for-economic-survival-in-2023-00075805,False
12,https://www.politico.com/news/2022/12/29/gavin-newsom-moderate-national-profile-00075172,False
