,description,political
1,"When Puerto Ricans belt the name Roberto Clemente in song, they want the world to understand their pride, unity and culture.",False
11,MGM Resorts International has closed on the sale of land on the Las Vegas Strip that was the site of the deadliest mass shooting in modern U.S. history.,False
33,The Wall Street Journal is urging Phoenix police to investigate after one of its Black reporters was handcuffed and detained while working on an assignment on,False
34,"The congresswoman would make a solid Senate candidate, but leaving her House seat to run may come at a potentially high cost to the Democratic Party.",True
43,"A school administrator in Newport News, Virginia, was alerted to a possible weapon on a 6-year-old boy on the day a first-grade teacher was shot, but a search of the student's bookbag that morning turned up empty.",False
50,A new national Quinnipiac University poll finds 62% of registered voters believe President Joe Biden acted inappropriately with classified documents.,True
52,"Family members of Tyre Nichols are set to meet with officials Monday to view footage of the traffic stop that led to his death, three days after he was hospitalized in critical condition.",False
55,"Stigma against Chinese cuisine in the first year of the pandemic cost Asian restaurants in the United States an estimated $7.4 billion in lost revenue in 2020, a recent study found.",False
69,The House conducted multiple votes on Tuesday after Rep. Kevin McCarthy failed to get enough Republican support to become speaker.,True
4,"Sharon Osbourne revealed that her daughter Kelly Osbourne has quietly welcomed a baby, her first, with her boyfriend, Sid Wilson.",False
12,"To keep extremism at bay, Republicans need to use proportional representation as the method for selecting delegates to their 2024 presidential convention. Current rules have a strong winner-take-all bias -- designed in many states to create horserace election…",True
34,The French government on Tuesday will propose raising the retirement age by at least two years as part of a long-delayed reform to the country's pension system that was met with huge protests by labor unions the last time it was attempted.,True
39,"A Houston area man has been charged with aggravated kidnapping after holding a woman he met on a dating app captive for five days around Christmas and physically assaulting her before she escaped, according to charging documents.",False
40,"A federal agency is considering a ban on gas stoves as concerns about indoor pollution linked to childhood asthma rise, Bloomberg reported.",True
50,"""Avatar: The Way of Water"" is setting box office records and generating Oscar buzz, which recently got director James Cameron reflecting on a moment he had celebrating one of his other big films.",False
54,The James Webb Space Telescope has been used to confirm the existence of an exoplanet for the first time. The space observatory also spied a dusty debris disk around a nearby star and a star-forming region in a neighboring galaxy.,False
78,Attorneys for disgraced FTX founder Sam Bankman-Fried urged the judge in his fraud case to keep the names of two people who co-signed his $250 million bond secret because of actual threats he says his family has received.,False
